"RefDes","Value","Name"
"C1","3.3uF","CAP_0805"
"C2","0.1uF","CAP_0805"
"C3","2.5u","CAP_0805"
"C4","","CAP_0805"
"C5","","CAP_0805"
"C6","3.3uF","CAP_0805"
"C7","0.1uF","CAP_0805"
"C8","3.3uF","CAP_0805"
"C9","0.1uF","CAP_0805"
"C10","","CAP_0805"
"C11","3.3uF","CAP_0805"
"C12","0.1uF","CAP_0805"
"C13","100p","CAP_0805"
"C14","3.3uF","CAP_0805"
"C15","3.3uF","CAP_0805"
"C16","0.1uF","CAP_0805"
"C17","3.3uF","CAP_0805"
"C18","0.1uF","CAP_0805"
"C19","","CAP_0805"
"C20","10uF","CAP_0805"
"C21","0.1uF","CAP_0805"
"C22","0.1uF","CAP_0805"
"C23","3.3uF","CAP_0805"
"C24","0.1uF","CAP_0805"
"C25","10uF","CAP_0805"
"C26","0.1uF","CAP_0805"
"C27","10uF","CAP_0805"
"C28","0.1uF","CAP_0805"
"C29","22pF","CAP_0805"
"C30","22pF","CAP_0805"
"C31","10uF","CAP_0805"
"C32","0.1uF","CAP_0805"
"C33","10uF","CAP_0805"
"C34","0.1uF","CAP_0805"
"C35","0.1u","CAP_0805"
"C36","22u","POLCAP"
"C37","10uF","CAP_0805"
"C38","0.1uF","CAP_0805"
"C39","10uF","CAP_0805"
"C40","0.1uF","CAP_0805"
"C41","10uF","CAP_0805"
"C42","0.1uF","CAP_0805"
"C43","10uF","CAP_0805"
"C44","0.1uF","CAP_0805"
"C45","10uF","CAP_0805"
"C46","0.1uF","CAP_0805"
"C47","10uF","CAP_0805"
"C48","0.1uF","CAP_0805"
"C49","10uF","CAP_0805"
"C50","0.1uF","CAP_0805"
"C51","10uF","CAP_0805"
"C52","0.1uF","CAP_0805"
"D1","","LED"
"D2","","LED"
"D3","","LED"
"D4","","LED"
"D5","","LED"
"D6","","LED"
"D7","","LED"
"D8","","LED"
"D11","","LED"
"D12","","LED"
"D13","","LED"
"J1","","132203"
"J2","","132203"
"J3","","788756-1"
"J4","","90131-0123"
"J5","","788782-2"
"J6","","132203"
"J8","","132203"
"J9","","644456-8"
"J10","","644456-8"
"R1","50","RES_0805"
"R2","370","RES_0805"
"R3","50","RES_0805"
"R4","370","RES_0805"
"R5","450","RES_0805"
"R6","0","RES_0805"
"R7","0","RES_0805"
"R8","0","RES_0805"
"R9","0","RES_0805"
"R10","50","RES_0805"
"R11","0","RES_0805"
"R12","370","RES_0805"
"R13","370","RES_0805"
"R14","50","RES_0805"
"R15","0","RES_0805"
"R16","","RES_0805"
"R17","","RES_0805"
"R18","","RES_0805"
"R19","","RES_0805"
"R20","","RES_0805"
"R21","","RES_0805"
"R22","","RES_0805"
"R23","","RES_0805"
"R24","0","RES_0805"
"R27","91","RES_0805"
"R28","1","RES_0805"
"R29","3.00k","RES_0805"
"R30","0","RES_0805"
"R31","0","RES_0805"
"R32","","RES_0805"
"R33","","RES_0805"
"R34","","RES_0805"
"R35","","RES_0805"
"R36","","RES_0805"
"R37","","RES_0805"
"R38","490","RES_0805"
"R39","490","RES_0805"
"R40","490","RES_0805"
"TP1","","TESTPOINT"
"TP2","","TESTPOINT"
"TP3","","TESTPOINT"
"TP4","","TESTPOINT"
"TP5","","TESTPOINT"
"TP6","","TESTPOINT"
"TP7","","TESTPOINT"
"TP8","","TESTPOINT"
"TP9","","TESTPOINT"
"TP10","","TESTPOINT"
"TP11","","TESTPOINT"
"TP12","","TESTPOINT"
"TP13","","TESTPOINT"
"TP14","","TESTPOINT"
"TP15","","TESTPOINT"
"TP16","","TESTPOINT"
"TP17","","TESTPOINT"
"TP18","","TESTPOINT"
"TP19","","TESTPOINT"
"TP20","","TESTPOINT"
"TP21","","TESTPOINT"
"TP22","","TESTPOINT"
"TP23","","TESTPOINT"
"TP24","","TESTPOINT"
"TP25","","TESTPOINT"
"TP26","","TESTPOINT"
"TP27","","TESTPOINT"
"TP28","","TESTPOINT"
"TP29","","TESTPOINT"
"TP30","","TESTPOINT"
"TP31","","TESTPOINT"
"TP32","","TESTPOINT"
"TP33","","TESTPOINT"
"TP34","","TESTPOINT"
"TP35","","TESTPOINT"
"TP36","","TESTPOINT"
"TP37","","TESTPOINT"
"TP38","","TESTPOINT"
"TP39","","TESTPOINT"
"TP40","","TESTPOINT"
"TP41","","TESTPOINT"
"TP42","","TESTPOINT"
"TP43","","TESTPOINT"
"TP44","","TESTPOINT"
"TP45","","TESTPOINT"
"TP46","","TESTPOINT"
"TP47","","TESTPOINT"
"TP48","","TESTPOINT"
"U1","","AMPLIFIER"
"U2","","AMPLIFIER"
"U3","","AMPLIFIER"
"U4","","MAATSS0015"
"U5","","AMPLIFIER"
"U6","","ATMEGA328_TQFP32"
"U7","","MAATSS0015"
"U8","","SN74LS04D"
"U9","","SN74LS04D"
"U10","","LM339AD"
"U11","","LM339AD"
"U12","","TL431ACLP"
"U13","","LM339AD"
"U14","","LM339AD"
"U15","","LF347D"
"U16","","LF347D"
"Y1","","ECS-10-13-1"
